标题,作者,译者,出版社,价格,评分,简介,详细链接
设计心理学3,唐纳德•A•诺曼(Donald Arthur Norman),何笑梅、欧秋杏,中信出版社,38.00元,8.1,当用户体验成为设计界关注的热点时，诺曼博士对设计中情感因素的分析，可以说是恰当其时，他让我们把设计品与消费者之间的连接找到一个有效的进入方式。有别于传统设计...,https://book.douban.com/subject/10550576/
应需而变,Peter Merholz、Brandon Schauer、David Verba、Todd Wilkens,吴隽辰,机械工业出版社,29.00元,7.6,要在当今不断变化、不可预知的市场中获得成功，企业需要重新全面地考虑、架构自己的战略。抛弃从内而外的研发新产品，企业需要开始从外而内地着眼于流程，并且从用户体...,https://book.douban.com/subject/3665205/
Letting Go of the Words,Janice (Ginny) Redish, ,Morgan Kaufmann,USD 49.95,8.2,"""Redish has done her homework and created a thorough overview of the issues in...",https://book.douban.com/subject/2579849/
The Persona Lifecycle,John Pruitt、Tamara Adlin, ,Morgan Kaufmann,USD 89.95,评价人数少于10人,暂无简介,https://book.douban.com/subject/1813824/
设计调查,李乐山, ,中国建筑工业出版社,50.00元,7.5,《设计调查》是国内第一本关于设计调查的专业著作。《设计调查》作者经过七年研究和教学试用，建立了设计调查的系统方法。主要涉及工业设计、图文设计、环境艺术设计、...,https://book.douban.com/subject/2160962/
The Design of Everyday Things,Donald A. Norman, ,Basic Books,USD 16.95,8.7,"Donald Norman's best-selling plea for user-friendly design, with more than 175...",https://book.douban.com/subject/1365318/
动静之美 Sketch移动UI与交互动效设计详解,黄方闻, ,人民邮电出版社,CNY 88.00,7.5,《动静之美——Sketch移动UI与交互动效设计详解》全面、细致地介绍了Sketch软件的使用方法，以及和Sketch软件无缝衔接的几款交互动效软件的使用方...,https://book.douban.com/subject/26847053/
100 Things Every Designer Needs to Know About People,Susan Weinschenk, ,New Riders,GBP 21.99,8.2,本书出自国际知名的设计心理学专家之手，内容实用、示例清晰，以创造直观而又有吸引力的设计为宗旨，讨论了100个设计师必须知道的心理学问题，每个问题短小精悍，片...,https://book.douban.com/subject/5386062/
Designing Social Interfaces,Christian Crumlish、Erin Malone, ,Yahoo Press,USD 49.99,7.9,Knowing how to create a social website to foster user interaction and communit...,https://book.douban.com/subject/3787852/
UCD火花集,UCDChina, ,人民邮电出版社,25.00元,7.4,本书收集了UCDChina上线以来推出的13个话题，内容涵盖了产品设计的全部流程，按顺序集结到第一到第十三章中，讨论了如何研究用户、如何将用户需求应用到产品...,https://book.douban.com/subject/3670867/
设计沟通十器,Daniel M. Brown,樊旺斌,机械工业出版社,49.00元,7.6,本书提供了网站设计时所需的可交付文档资料包括：概念模型，站点地图，可用性报告等，这些文档资料是设计人员和客户进行交流的主要工具。本书深入讨论了文档推介和风险...,https://book.douban.com/subject/3348282/
用户体验草图设计,巴克斯顿(Bill Buxton), ,电子工业出版社,188.00元,7.9,用户体验草图设计：正确地设计，设计得正确（软精装版 全彩），ISBN：9787121155314，作者：（美）巴克斯顿 著，黄峰 等译,https://book.douban.com/subject/10542579/
界面设计模式,Jenifer Tidwell, ,东南大学，O‘Reilly,99.00元,8.4,尽管目前已经存在了各种各样的用户界面设计工具，设计良好的应用界面仍然不是一件容易的事情。这本畅销书是极少数可以信赖的资料，它能帮助你走出设计选项的迷宫。通过...,https://book.douban.com/subject/6710641/
Hidden in Plain Sight,Jan Chipchase、Simon Steinhardt, ,HarperBusiness,USD 28.99,7.8,Who are your next customers - not just the ones you are serving today but the ...,https://book.douban.com/subject/11233650/
