"filename", "language", "Jupyter", "Python", "Markdown", "CSV", "YAML", "Excel", "Log", "XML", "C++", "C", "comment", "blank", "total"
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\21.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 15, 6, 51
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\22.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 3, 45
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\3.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\4.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\5.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\6.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 22, 6, 58
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\7.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\8.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\luogu\xunhuan\9.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\main.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\.ipynb_checkpoints\Untitled-checkpoint.ipynb", "Jupyter", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 80
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\1.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
